* Measurement data measured by REW V5.19
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 65536-point spectrum using Rectangular window and 30 averages 
* Dated: Jan 12, 2019 11:00:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 65536-point spectrum using Rectangular window and 30 averages Input RMS 18.3 dB, 18.2 dBC, 8.6 dBA
* Measurement: Jan 12 11:00:58
* Smoothing: None
* Frequency Step: 0.7324219 Hz
* Start Frequency: 0.7324219 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
443.848, -22.517, 0
444.580, -21.028, 0
445.312, -20.410, 0
446.045, -19.504, 0
446.777, -20.200, 0
447.510, -19.779, 0
448.242, -21.781, 0
448.975, -21.446, 0
449.707, -22.111, 0
450.439, -22.527, 0
451.172, -23.566, 0
451.904, -21.953, 0
452.637, -22.435, 0
453.369, -22.090, 0
454.102, -22.803, 0
454.834, -21.753, 0
455.566, -21.075, 0
456.299, -21.640, 0
457.031, -21.001, 0
457.764, -20.353, 0
458.496, -21.691, 0
459.229, -21.117, 0
459.961, -22.309, 0
460.693, -20.840, 0
461.426, -22.146, 0
462.158, -23.746, 0
462.891, -22.325, 0
463.623, -21.641, 0
464.355, -22.180, 0
465.088, -23.883, 0
465.820, -23.249, 0
466.553, -24.169, 0
467.285, -24.351, 0
468.018, -24.900, 0
468.750, -23.097, 0
469.482, -22.162, 0
470.215, -23.138, 0
470.947, -23.281, 0
471.680, -24.178, 0
472.412, -23.228, 0
473.145, -25.611, 0
473.877, -25.260, 0
474.609, -24.477, 0
475.342, -22.963, 0
476.074, -23.382, 0
476.807, -21.885, 0
477.539, -23.168, 0
478.271, -23.945, 0
479.004, -25.095, 0
479.736, -24.701, 0
480.469, -22.989, 0
481.201, -23.872, 0
481.934, -24.847, 0
482.666, -24.281, 0
483.398, -24.040, 0
484.131, -24.741, 0
484.863, -24.824, 0
485.596, -25.132, 0
486.328, -24.135, 0
487.061, -24.808, 0
487.793, -24.190, 0
488.525, -24.184, 0
489.258, -22.965, 0
489.990, -24.148, 0
490.723, -24.601, 0
491.455, -23.670, 0
492.188, -21.806, 0
492.920, -25.285, 0
493.652, -24.817, 0
494.385, -22.151, 0
495.117, -22.716, 0
495.850, -24.542, 0
496.582, -21.252, 0
497.314, -24.478, 0
498.047, -22.693, 0
498.779, -24.664, 0
499.512, -25.401, 0
500.244, -24.101, 0
500.977, -24.491, 0
501.709, -23.124, 0
502.441, -23.433, 0
503.174, -24.104, 0
503.906, -22.596, 0
504.639, -22.639, 0
505.371, -21.780, 0
506.104, -20.319, 0
506.836, -22.352, 0
507.568, -23.767, 0
508.301, -21.745, 0
509.033, -21.984, 0
509.766, -22.877, 0
510.498, -22.039, 0
511.230, -23.592, 0
511.963, -24.508, 0
512.695, -24.048, 0
513.428, -24.794, 0
514.160, -23.128, 0
514.893, -24.324, 0
515.625, -25.323, 0
516.357, -25.196, 0
517.090, -23.135, 0
517.822, -23.043, 0
518.555, -23.461, 0
519.287, -24.949, 0
520.020, -24.819, 0
520.752, -24.918, 0
521.484, -23.749, 0
522.217, -21.730, 0
522.949, -21.263, 0
523.682, -23.386, 0
524.414, -24.286, 0
525.146, -23.438, 0
525.879, -22.637, 0
526.611, -24.201, 0
527.344, -22.133, 0
528.076, -23.498, 0
528.809, -23.042, 0
529.541, -24.424, 0
530.273, -24.050, 0
531.006, -25.667, 0
531.738, -25.151, 0
532.471, -26.307, 0
533.203, -24.973, 0
533.936, -24.435, 0
534.668, -23.972, 0
535.400, -24.255, 0
536.133, -25.050, 0
536.865, -25.842, 0
537.598, -24.852, 0
538.330, -24.560, 0
539.062, -24.938, 0
539.795, -23.552, 0
540.527, -24.292, 0
541.260, -20.531, 0
541.992, -22.096, 0
542.725, -22.389, 0
543.457, -22.013, 0
544.189, -22.218, 0
544.922, -22.663, 0
545.654, -22.352, 0
546.387, -23.352, 0
547.119, -23.315, 0
547.852, -22.367, 0
548.584, -22.580, 0
549.316, -24.749, 0
550.049, -22.544, 0
550.781, -23.067, 0
551.514, -24.051, 0
552.246, -22.645, 0
552.979, -23.444, 0
553.711, -22.478, 0
554.443, -22.800, 0
555.176, -23.684, 0
555.908, -24.111, 0
556.641, -23.459, 0
557.373, -23.789, 0
558.105, -23.474, 0
558.838, -23.498, 0
559.570, -24.820, 0
560.303, -23.308, 0
561.035, -23.005, 0
561.768, -25.742, 0
562.500, -23.253, 0
563.232, -23.092, 0
563.965, -17.531, 0
564.697, -19.884, 0
565.430, -23.447, 0
566.162, -24.186, 0
566.895, -26.229, 0
567.627, -27.138, 0
568.359, -25.703, 0
569.092, -25.912, 0
569.824, -25.111, 0
570.557, -26.695, 0
571.289, -26.110, 0
572.021, -26.887, 0
572.754, -25.679, 0
573.486, -29.543, 0
574.219, -25.690, 0
574.951, -26.381, 0
575.684, -26.058, 0
576.416, -26.899, 0
577.148, -27.037, 0
577.881, -28.440, 0
578.613, -28.370, 0
579.346, -27.328, 0
580.078, -26.921, 0
580.811, -27.011, 0
581.543, -24.927, 0
582.275, -26.732, 0
583.008, -25.730, 0
583.740, -24.597, 0
584.473, -24.747, 0
585.205, -25.220, 0
585.938, -24.381, 0
586.670, -26.537, 0
587.402, -25.715, 0
588.135, -25.518, 0
588.867, -25.130, 0
589.600, -25.602, 0
590.332, -23.659, 0
591.064, -24.658, 0
591.797, -24.730, 0
592.529, -28.240, 0
593.262, -25.183, 0
593.994, -23.426, 0
594.727, -24.677, 0
595.459, -26.085, 0
596.191, -23.323, 0
596.924, -23.732, 0
597.656, -24.914, 0
598.389, -25.651, 0
599.121, -22.906, 0
599.854, -22.716, 0
600.586, -24.893, 0
601.318, -25.895, 0
602.051, -25.591, 0
602.783, -25.327, 0
603.516, -25.077, 0
604.248, -24.179, 0
604.980, -23.760, 0
605.713, -25.550, 0
606.445, -24.917, 0
607.178, -26.595, 0
607.910, -25.214, 0
608.643, -27.725, 0
609.375, -25.541, 0
610.107, -26.649, 0
610.840, -24.924, 0
611.572, -24.842, 0
612.305, -25.647, 0
613.037, -26.799, 0
613.770, -26.422, 0
614.502, -24.964, 0
615.234, -25.143, 0
615.967, -24.318, 0
616.699, -23.259, 0
617.432, -24.045, 0
618.164, -24.274, 0
618.896, -25.120, 0
619.629, -23.252, 0
620.361, -25.330, 0
621.094, -24.019, 0
621.826, -22.583, 0
622.559, -21.663, 0
623.291, -14.269, 0
624.023, -14.683, 0
624.756, -21.412, 0
625.488, -23.750, 0
626.221, -22.092, 0
626.953, -22.414, 0
627.686, -21.728, 0
628.418, -22.557, 0
629.150, -22.632, 0
